period,att_pi,out_pi,att_y,out_y,att_fs,att_unc
2021Q1,0.5263157894736842,0.2,0.8947368421052632,0.6470588235294118,0.8421052631578947,1.0
2021Q2,0.5263157894736842,0.3,0.8421052631578947,0.625,0.8421052631578947,0.5789473684210527
2021Q3,0.75,0.4444444444444444,0.9166666666666666,0.5454545454545454,0.6666666666666666,0.75
2021Q4,0.6060606060606061,0.4,0.8181818181818182,0.7037037037037037,0.7272727272727273,0.7272727272727273
2022Q1,0.6666666666666666,0.8125,0.7083333333333334,0.5294117647058824,0.7083333333333334,0.7083333333333334
2022Q2,0.68,0.8235294117647058,0.84,0.7619047619047619,0.68,0.72
2022Q3,0.8,0.9166666666666666,0.8666666666666667,0.07692307692307693,0.5333333333333333,0.8
2022Q4,0.7777777777777778,0.7857142857142857,0.8333333333333334,0.5333333333333333,0.6666666666666666,0.7777777777777778
2023Q1,0.7333333333333333,0.2727272727272727,0.7333333333333333,0.6363636363636364,0.7333333333333333,0.7333333333333333
2023Q2,0.7307692307692307,0.631578947368421,0.8076923076923077,0.2857142857142857,0.6923076923076923,0.8076923076923077
2023Q3,0.7058823529411765,0.8333333333333334,0.8235294117647058,0.35714285714285715,0.47058823529411764,0.6470588235294118
2023Q4,0.7222222222222222,0.15384615384615385,0.9444444444444444,0.23529411764705882,0.6666666666666666,0.9444444444444444
2024Q1,0.6875,0.18181818181818182,0.8125,0.07692307692307693,0.75,0.625
2024Q2,0.8421052631578947,0.3125,1.0,0.42105263157894735,0.7368421052631579,0.8421052631578947
2024Q3,0.75,0.0,0.9166666666666666,0.18181818181818182,0.6666666666666666,0.6666666666666666
2024Q4,0.7333333333333333,0.22727272727272727,0.9,0.25925925925925924,0.6,0.7666666666666667
2025Q1,0.9166666666666666,0.2727272727272727,0.9166666666666666,0.09090909090909091,0.75,0.9166666666666666
2025Q2,0.5357142857142857,-0.13333333333333333,0.8928571428571429,0.36,0.6785714285714286,0.8214285714285714
2025Q3,0.3125,0.6,0.5625,0.1111111111111111,0.75,0.5625
2025Q4,0.46153846153846156,0.25,0.9615384615384616,0.48,0.6923076923076923,0.7692307692307693
